BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3009698,Riptide / Catherine Coulter.,"Coulter, Catherine","0515130966, 9780515130966","2001, c2000.","Jove Books,","Women speechwriters Fiction, Stalkers Fiction, United States Federal Bureau of Investigation Fiction, Savich Dillon Fictitious character Fiction, Sherlock Lacey Fictitious character Fiction, Government investigators Fiction, New York N Y Fiction, Suspense fiction, Mystery fiction, Love stories",acbk,cafic,NA,cen,2017-09-01T00:00:00.000,1
292021,"Lyon memorial; Massachusetts families including descendants o the immigrants William Lyon of Roxbury, Peter Lyon of Dorchester, George Lyon of Dorchester.","Lyon, Sidney Elizabeth, 1846-",,1905.,"Graham,",Lyons family,arbk,caref,NA,cen,2017-09-01T00:00:00.000,1
2176355,A birthday for Frances / by Russell Hoban ; pictures by Lillian Hoban.,"Hoban, Russell","0060223383, 0060223391, 0064430073",1995.,"HarperCollins,","Birthdays Juvenile fiction, Badgers Juvenile fiction, Behavior Fiction",jcbk,ncpic,NA,wts,2017-09-01T00:00:00.000,1
2459355,Hanukkah & Chinese New Year [sound recording],,,p2002.,"Kimbo Educational,","Hanukkah Songs and music Juvenile sound recordings, Chinese New Year Songs and music Juvenile sound recordings, Childrens songs Juvenile sound recordings, Hanukkah Songs and music, Chinese New Year Songs and music, Songs",jccd,cccd,NA,cen,2017-09-01T00:00:00.000,2
2709212,Thea Stilton and the cherry blossom adventure / [Thea Stilton ; illustrations by Alessandro Battan ... et al. ; translated by Julia Heim].,"Stilton, Thea","0545227720, 9780545227728",2011.,"Scholastic,","Stilton Thea Juvenile fiction, Stilton Geronimo Juvenile fiction, Mice Juvenile fiction, Sisters Juvenile fiction, Student exchange programs Juvenile fiction, Japanese flowering cherry Juvenile fiction, Stealing Fiction, Kyoto Japan Juvenile fiction, Japan Juvenile fiction",jcbk,ncfic,NA,wts,2017-09-01T00:00:00.000,1
2503772,Your pet cat / by Elaine Landau.,"Landau, Elaine","0531167666, 9780531167663",c2007.,"Children's Press,",Cats Juvenile literature,jcbk,ncnf,NA,dlr,2017-09-01T00:00:00.000,1
2698355,Lemonade : and other poems squeezed from a single word / by Bob Raczka ; illustrated by Nancy Doniger.,"Raczka, Bob","1596435410, 9781596435414",2011.,"Roaring Brook Press,","Word games Juvenile literature, Childrens poetry American, American poetry Juvenile literature",jcbk,ncnf,NA,lcy,2017-09-01T00:00:00.000,1
2801586,"Thạch Sanh & Sơn Tinh Thủy Tinh / lời, Nguyên Anh, Tú Anh ; tranh, Nhật Minh, Tịnh Lâm.","Đinh, Nguyên Anh.",,c2011.,"[Nhà xuất bản Dân Trí],","Tales Vietnam Juvenile literature, Folklore Juvenile literature, Vietnamese language materials",jcbk,ncln,NA,lcy,2017-09-01T00:00:00.000,1
2083884,A collection of beauties at the height of their popularity : a novel / Whitney Otto.,"Otto, Whitney",0375505458,c2002.,"Random House,","Young adults Fiction, Bars Drinking establishments Fiction, San Francisco Calif Fiction, Bildungsromans",acbk,cafic,NA,cen,2017-09-01T00:00:00.000,1
2697048,"Celtic Thunder [videorecording] : Christmas / producer, Sharon Browne ; director, Julia Knowles.",Celtic Thunder (Musical group : 2007-),,c2010.,"Decca : Distributed by Universal Music Distribution,","Christmas music, Carols English, Concert films",acdvd,cadvdnf,NA,cen,2017-09-01T00:00:00.000,3
2833067,Miss Peregrine's Home for Peculiar Children / Ransom Riggs.,"Riggs, Ransom","1410450236, 9781410450234",2012.,"Thorndike Press,","Grandfathers Juvenile fiction, Orphanages Juvenile fiction, Islands Juvenile fiction, Mystery and detective stories, Wales Juvenile fiction, Large type books Juvenile fiction, Paranormal fiction",acbk,nylp,Floating,bea,2017-09-01T00:00:00.000,1
1303954,The legendary Italian westerns [sound recording] / Ennio Morricone.,"Morricone, Ennio",,p1990.,"RCA : Distributed by BMG Music,",Motion picture music Excerpts,accd,nacd,Floating,bro,2017-09-01T00:00:00.000,1
